MsgID.STATE,1521883067.1269608,False,False
MsgID.GLOBAL_HOME,1521883073.7749598,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521883073.7749598,-122.3974510,37.7924799,0.2070000
MsgID.LOCAL_VELOCITY,1521883073.7749598,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521883073.7749598,-0.0614999,0.2003670,-0.2079025
MsgID.LOCAL_VELOCITY,1521883073.7749598,0.0000183,-0.0000318,0.0000156
MsgID.GLOBAL_POSITION,1521883073.7759588,-122.3974504,37.7924797,0.2110000
MsgID.LOCAL_VELOCITY,1521883073.7759588,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521883073.7759588,-0.0816783,0.2575035,-0.2115125
MsgID.LOCAL_VELOCITY,1521883073.7759588,0.0000102,-0.0000061,0.0000211
MsgID.GLOBAL_POSITION,1521883073.7759588,-122.3974486,37.7924803,0.2130000
MsgID.LOCAL_VELOCITY,1521883073.7759588,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521883073.7759588,-0.0080947,0.4105993,-0.2137979
MsgID.LOCAL_VELOCITY,1521883073.7759588,-0.0000169,-0.0000267,0.0000128
MsgID.LOCAL_POSITION,1521883073.7769620,-0.1707150,0.3061013,-0.2197389
MsgID.LOCAL_VELOCITY,1521883073.7769620,0.0000234,-0.0000049,0.0000189
MsgID.GLOBAL_POSITION,1521883073.7769620,-122.3974498,37.7924789,0.2190000
MsgID.LOCAL_VELOCITY,1521883073.7769620,0.0000000,0.0000000,0.0000000
MsgID.STATE,1521883073.7779591,True,True
MsgID.GLOBAL_HOME,1521883073.7779591,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521883073.7779591,-122.3974511,37.7924793,0.2300000
MsgID.LOCAL_VELOCITY,1521883073.7779591,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521883073.7789586,-0.1244421,0.1897385,-0.2303705
MsgID.LOCAL_VELOCITY,1521883073.7789586,0.0000122,-0.0000117,0.0000161
MsgID.GLOBAL_POSITION,1521883073.7799668,-122.3974507,37.7924804,0.2440000
MsgID.LOCAL_VELOCITY,1521883073.7799668,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521883073.7809572,-0.0068401,0.2267017,-0.2442080
MsgID.LOCAL_VELOCITY,1521883073.7809572,0.0000075,-0.0000126,0.0000173
MsgID.GLOBAL_POSITION,1521883073.7819586,-122.3974507,37.7924800,0.2570000
MsgID.LOCAL_VELOCITY,1521883073.7819586,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521883073.7819586,-0.0434294,0.2268226,-0.2577813
MsgID.LOCAL_VELOCITY,1521883073.7819586,-0.0000053,-0.0000062,0.0000136
MsgID.GLOBAL_POSITION,1521883073.7829638,-122.3974518,37.7924800,0.2660000
MsgID.LOCAL_VELOCITY,1521883073.7829638,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521883073.7829638,-0.0447303,0.1287675,-0.2669308
MsgID.LOCAL_VELOCITY,1521883073.7829638,0.0000074,-0.0000309,0.0000157
MsgID.STATE,1521883073.7829638,True,True
MsgID.GLOBAL_HOME,1521883073.7839592,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521883073.7839592,-122.3974520,37.7924803,0.2670000
MsgID.LOCAL_VELOCITY,1521883073.7839592,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521883073.7839592,-0.0159474,0.1106928,-0.2676473
MsgID.LOCAL_VELOCITY,1521883073.7839592,0.0000045,0.0000190,0.0000122
MsgID.GLOBAL_POSITION,1521883073.7839592,-122.3974502,37.7924798,0.2570000
MsgID.LOCAL_VELOCITY,1521883073.7839592,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521883073.7839592,-0.0683741,0.2686982,-0.2578648
MsgID.LOCAL_VELOCITY,1521883073.7839592,0.0000171,0.0000094,0.0000188
MsgID.GLOBAL_POSITION,1521883073.7849581,-122.3974501,37.7924786,0.2380000
MsgID.LOCAL_VELOCITY,1521883073.7849581,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521883073.7849581,-0.1978400,0.2810924,-0.2381076
MsgID.LOCAL_VELOCITY,1521883073.7849581,-0.0000016,-0.0000013,0.0000148
MsgID.GLOBAL_POSITION,1521883073.7849581,-122.3974511,37.7924793,0.2100000
